architecture,p_link,metric,original_shots,original_errors,added_shots,added_errors,shots,errors,ler,ci95_low,ci95_high
dual,0.006,either,2000000,143,43000000,3436,45000000,3579,7.953333333333333e-05,7.697011159418449e-05,8.218190723792144e-05
dual,0.006,top,2000000,76,43000000,1711,45000000,1787,3.971111111111111e-05,3.7912145818874274e-05,4.1595435367694496e-05
dual,0.007,both,2000000,4,43000000,146,45000000,150,3.3333333333333333e-06,2.8408773073648367e-06,3.911154534480537e-06
dual,0.007,bottom,2000000,85,43000000,1857,45000000,1942,4.3155555555555555e-05,4.127842520945502e-05,4.511804427792752e-05
dual,0.007,either,2000000,157,43000000,3427,45000000,3584,7.964444444444445e-05,7.70794036944612e-05,8.229483734089678e-05
dual,0.007,top,2000000,76,43000000,1716,45000000,1792,3.9822222222222224e-05,3.8020683756970225e-05,4.170911963285061e-05
dual,0.008,both,2000000,6,43000000,131,45000000,137,3.0444444444444444e-06,2.575548831890346e-06,3.5987052814996808e-06
dual,0.008,bottom,2000000,72,43000000,1806,45000000,1878,4.1733333333333336e-05,3.988808523276642e-05,4.366394005298979e-05
dual,0.008,either,2000000,137,43000000,3343,45000000,3480,7.733333333333333e-05,7.480639323231265e-05,7.994562597540254e-05
dual,0.008,top,2000000,71,43000000,1668,45000000,1739,3.864444444444444e-05,3.687036706535874e-05,4.0503880969990285e-05
dual,0.009,both,2000000,8,43000000,161,45000000,169,3.7555555555555557e-06,3.2304208905698747e-06,4.366055323633316e-06
dual,0.009,bottom,2000000,91,43000000,1924,45000000,2015,4.477777777777778e-05,4.28649163225797e-05,4.677599733228287e-05
dual,0.009,either,2000000,179,43000000,3542,45000000,3721,8.268888888888889e-05,8.007449186077193e-05,8.538863754369243e-05
dual,0.009,top,2000000,96,43000000,1779,45000000,1875,4.1666666666666665e-05,3.982292626949716e-05,4.3595765694307816e-05
dual,0.01,both,2000000,12,43000000,166,45000000,178,3.955555555555556e-06,3.4155808948131418e-06,4.580895285243752e-06
dual,0.01,bottom,2000000,99,43000000,1917,45000000,2016,4.48e-05,4.2886653610150326e-05,4.679870448536265e-05
dual,0.01,either,2000000,185,43000000,3644,45000000,3829,8.50888888888889e-05,8.243622046000402e-05,8.782690853470475e-05
dual,0.01,top,2000000,98,43000000,1893,45000000,1991,4.424444444444444e-05,4.234325771964566e-05,4.623098935960704e-05
